time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01,7187.08,7260.8,7177.59,7250.01,1034901,0,0
2020-01-02,7250.11,7250.21,6872.91,6959.04,3432586,0,0
2020-01-03,6998.19,7429.81,6851.79,7266.18,7654561,0,0
2020-01-04,7296.06,7412.73,7289.27,7362.39,1805901,0,0
2020-01-05,7362.29,7501.53,7343.81,7375.87,3018601,0,0
2020-01-06,7375.17,7611.61,7294.41,7569.66,4018833,0,0
2020-01-07,7576.65,8191.51,7486.63,8021.64,7736849,0,0
2020-01-08,8003.18,8452.4,7861.95,8001.19,11317583,0,0
2020-01-09,7998.89,8111.72,7732.29,7784.79,4802773,0,0
2020-01-10,7782.52,8132.79,7662.29,8057.29,6431510,0,0
2020-01-11,8030.45,8263.3,7966.32,8082.49,5419201,0,0
2020-01-12,8081.0,8162.41,7942.95,8090.29,4296301,0,0
2020-01-13,8095.28,8192.79,8037.29,8127.29,2537887,0,0
2020-01-14,8119.15,8858.78,8085.29,8734.78,7950061,0,0
2020-01-15,8700.31,8899.28,8550.68,8820.78,5312004,0,0
2020-01-16,8802.8,8865.78,8570.36,8675.79,4151906,0,0
2020-01-17,8669.75,9010.28,8616.29,8902.78,4589457,0,0
2020-01-18,8873.02,8955.03,8781.32,8895.1,3253401,0,0
2020-01-19,8895.0,9159.31,8440.9,8703.01,12448301,0,0
2020-01-20,8702.91,8743.79,8430.29,8669.29,4382471,0,0
2020-01-21,8665.75,8773.03,8440.79,8715.79,5134711,0,0
2020-01-22,8721.29,8792.29,8568.29,8638.79,3544188,0,0
2020-01-23,8633.69,8667.89,8274.29,8377.29,5051821,0,0
2020-01-24,8387.46,8512.62,8209.79,8495.29,4392875,0,0
2020-01-25,8503.63,8509.12,8270.89,8381.67,3545001,0,0
2020-01-26,8381.86,8615.51,8291.86,8603.62,4255401,0,0
2020-01-27,8603.82,8991.89,8486.79,8945.29,5082903,0,0
2020-01-28,8958.83,9186.58,8864.79,9047.29,5217388,0,0
2020-01-29,9048.83,9431.81,8951.79,9356.78,4582001,0,0
2020-01-30,9363.18,9563.78,9137.78,9552.28,6389691,0,0
2020-01-31,9532.5,9566.78,9189.28,9348.89,5010178,0,0
2020-02-01,9373.47,9465.87,9307.75,9382.46,3072501,0,0
2020-02-02,9382.76,9490.34,9160.81,9455.48,5863401,0,0
2020-02-03,9449.59,9614.71,9208.29,9271.29,6049049,0,0
2020-02-04,9289.57,9348.5,9067.49,9136.29,3700216,0,0
2020-02-05,9163.3,9768.78,9037.79,9682.78,6188242,0,0
2020-02-06,9678.54,9856.28,9520.28,9734.78,6016681,0,0
2020-02-07,9709.8,9875.78,9636.28,9743.28,4101984,0,0
2020-02-08,9714.4,9909.78,9647.17,9888.21,3514101,0,0
2020-02-09,9888.31,10152.81,9824.88,10049.93,4942401,0,0
2020-02-10,10051.93,10194.78,9686.28,9870.28,7733850,0,0
2020-02-11,9838.65,10378.78,9702.28,10230.78,8675884,0,0
2020-02-12,10199.68,10481.28,10140.28,10392.28,3779816,0,0
2020-02-13,10376.02,10502.78,10065.28,10179.29,6575203,0,0
2020-02-14,10192.2,10393.29,10068.79,10348.29,4015361,0,0
2020-02-15,10329.93,10375.7,9804.65,9922.73,7349001,0,0
2020-02-16,9922.53,10047.48,9636.13,9760.76,6609301,0,0
2020-02-17,9760.21,10002.79,9455.95,9640.29,9598791,0,0
2020-02-18,9632.0,10279.79,9501.29,10143.29,8398100,0,0
2020-02-19,10134.89,10307.29,9266.29,9583.79,13664191,0,0
2020-02-20,9603.95,9708.29,9317.79,9606.29,6175612,0,0
2020-02-21,9611.66,9766.79,9501.29,9667.29,3375529,0,0
2020-02-22,9661.56,9715.14,9559.42,9683.88,2891201,0,0
2020-02-23,9683.29,9990.56,9644.18,9861.37,5146801,0,0
2020-02-24,9861.38,10026.29,9474.29,9604.29,8078590,0,0
2020-02-25,9608.96,9682.29,9222.29,9367.29,6542271,0,0
2020-02-26,9398.24,9425.83,8568.79,8751.79,9467343,0,0
2020-02-27,8762.45,8969.79,8513.79,8744.29,8457169,0,0
2020-02-28,8758.25,8898.79,8422.79,8667.29,8367777,0,0
2020-02-29,8657.44,8796.31,8575.0,8632.96,4181401,0,0
2020-03-01,8633.0,8750.06,8421.01,8523.93,5490301,0,0
2020-03-02,8524.65,8948.79,8477.79,8941.29,4961140,0,0
2020-03-03,8934.51,8968.29,8646.79,8740.79,4234335,0,0
2020-03-04,8734.91,8847.29,8661.79,8736.29,3512006,0,0
2020-03-05,8723.17,9169.29,8707.06,9113.79,5165871,0,0
2020-03-06,9099.17,9183.14,8988.45,9131.79,3590977,0,0
2020-03-07,9114.15,9189.97,8844.09,8879.75,4573601,0,0
2020-03-08,8879.73,8922.16,8153.85,8260.49,9173801,0,0
2020-03-09,8260.04,8288.29,7626.29,7843.29,9133831,0,0
2020-03-10,7873.21,8179.79,7690.75,7971.29,6843204,0,0
2020-03-11,8020.67,8059.94,7578.29,7858.29,7488883,0,0
2020-03-12,7895.8,8021.14,5384.79,5753.79,26705193,0,0
2020-03-13,5746.6,5983.29,3771.79,5430.79,36371820,0,0
2020-03-14,5393.52,5696.14,5205.56,5361.59,9492301,0,0
2020-03-15,5361.6,5627.73,5092.52,5212.86,9216801,0,0
2020-03-16,5213.04,5984.27,4417.29,4896.11,27809966,0,0
2020-03-17,4925.64,5514.64,4813.27,5471.27,7226889,0,0
2020-03-18,5469.33,5563.18,5005.27,5334.24,9606385,0,0
2020-03-19,5341.96,6394.01,5259.77,6244.75,13331048,0,0
2020-03-20,6241.9,6917.99,5596.79,5965.67,22384249,0,0
2020-03-21,5963.18,6383.98,5873.2,6334.24,6505001,0,0
2020-03-22,6334.13,6469.59,5772.53,5932.44,9924301,0,0
2020-03-23,5932.04,6620.45,5658.09,6400.19,11397637,0,0
2020-03-24,6416.18,6851.51,6335.67,6749.24,6385110,0,0
2020-03-25,6745.15,6980.47,6432.95,6596.74,8948821,0,0
2020-03-26,6590.63,6793.14,6501.81,6737.29,4124945,0,0
2020-03-27,6744.84,6867.97,6569.78,6678.79,5193849,0,0
2020-03-28,6677.3,6696.37,6045.65,6255.3,8794401,0,0
2020-03-29,6256.59,6279.66,5889.31,5965.13,4892401,0,0
2020-03-30,5966.13,6523.85,5722.29,6465.24,7941015,0,0
2020-03-31,6471.58,6620.57,6339.05,6480.26,5481837,0,0
2020-04-01,6483.35,6504.79,6147.66,6352.74,5484809,0,0
2020-04-02,6367.4,7261.11,6310.5,6751.77,13986708,0,0
2020-04-03,6767.83,7050.26,6606.62,6699.74,8152977,0,0
2020-04-04,6705.33,7010.68,6648.78,6848.39,5807401,0,0
2020-04-05,6850.09,6913.69,6682.62,6762.67,3747201,0,0
2020-04-06,6762.6,7324.17,6721.16,7233.27,7086273,0,0
2020-04-07,7236.29,7468.61,7065.92,7118.28,6468956,0,0
2020-04-08,7128.84,7429.2,7076.64,7316.73,4787542,0,0
2020-04-09,7325.68,7396.66,7098.35,7296.24,5680324,0,0
2020-04-10,7309.02,7324.69,6744.6,6917.77,7748013,0,0
2020-04-11,6920.99,6955.55,6775.01,6804.51,2446001,0,0
2020-04-12,6804.37,7180.03,6788.83,7103.93,4828401,0,0
2020-04-13,7104.86,7149.19,6562.72,6825.26,8495400,0,0
2020-04-14,6816.19,6988.08,6755.06,6869.27,3919582,0,0
2020-04-15,6861.34,6940.25,6682.06,6749.79,3852071,0,0
2020-04-16,6762.25,7158.01,6466.05,7037.11,10579867,0,0
2020-04-17,7057.32,7210.36,6988.03,7051.75,3805610,0,0
2020-04-18,7067.61,7275.88,7025.36,7233.63,3350201,0,0
